Startzeitpunkt;Start_text;Endezeitpunkt;Ende_text;Elektrische Leitfähigkeit [µS/cm];Sauerstoffgehalt [mg/L];pH-Wert;Temperatur [°C]
2023-02-14T22:15:00+00:00;14.02.2023 23:15:00;2023-02-14T22:30:00+00:00;14.02.2023 23:30:00;410.4;12.92;8.13;5.79
2023-02-14T22:30:00+00:00;14.02.2023 23:30:00;2023-02-14T22:45:00+00:00;14.02.2023 23:45:00;410.9;12.93;8.13;5.79
2023-02-14T14:00:00+00:00;14.02.2023 15:00:00;2023-02-14T14:15:00+00:00;14.02.2023 15:15:00;410.8;13.41;8.17;5.83
2023-02-14T12:45:00+00:00;14.02.2023 13:45:00;2023-02-14T13:00:00+00:00;14.02.2023 14:00:00;408.9;13.44;8.17;5.76
2023-02-14T12:30:00+00:00;14.02.2023 13:30:00;2023-02-14T12:45:00+00:00;14.02.2023 13:45:00;409.3;13.42;8.17;5.75
2023-02-14T15:00:00+00:00;14.02.2023 16:00:00;2023-02-14T15:15:00+00:00;14.02.2023 16:15:00;412.6;13.35;8.17;5.85
2023-02-14T15:30:00+00:00;14.02.2023 16:30:00;2023-02-14T15:45:00+00:00;14.02.2023 16:45:00;412.9;13.34;8.16;5.86
2023-02-14T16:15:00+00:00;14.02.2023 17:15:00;2023-02-14T16:30:00+00:00;14.02.2023 17:30:00;413.1;13.31;8.16;5.86
2023-02-14T20:00:00+00:00;14.02.2023 21:00:00;2023-02-14T20:15:00+00:00;14.02.2023 21:15:00;412.3;12.95;8.13;5.8
2023-02-14T20:15:00+00:00;14.02.2023 21:15:00;2023-02-14T20:30:00+00:00;14.02.2023 21:30:00;412.0;12.94;8.13;5.8
2023-02-14T20:30:00+00:00;14.02.2023 21:30:00;2023-02-14T20:45:00+00:00;14.02.2023 21:45:00;412.4;12.93;8.13;5.8
2023-02-14T20:45:00+00:00;14.02.2023 21:45:00;2023-02-14T21:00:00+00:00;14.02.2023 22:00:00;412.0;12.93;8.13;5.79
2023-02-14T21:00:00+00:00;14.02.2023 22:00:00;2023-02-14T21:15:00+00:00;14.02.2023 22:15:00;411.5;12.94;8.13;5.79
2023-02-15T00:30:00+00:00;15.02.2023 01:30:00;2023-02-15T00:45:00+00:00;15.02.2023 01:45:00;411.4;12.94;8.14;5.8
2023-02-15T02:00:00+00:00;15.02.2023 03:00:00;2023-02-15T02:15:00+00:00;15.02.2023 03:15:00;411.7;12.97;8.14;5.8
2023-02-15T01:45:00+00:00;15.02.2023 02:45:00;2023-02-15T02:00:00+00:00;15.02.2023 03:00:00;412.4;12.97;8.14;5.8
2023-02-15T02:15:00+00:00;15.02.2023 03:15:00;2023-02-15T02:30:00+00:00;15.02.2023 03:30:00;411.8;12.97;8.14;5.8
2023-02-15T06:00:00+00:00;15.02.2023 07:00:00;2023-02-15T06:15:00+00:00;15.02.2023 07:15:00;410.8;13.07;8.15;5.74
2023-02-15T05:45:00+00:00;15.02.2023 06:45:00;2023-02-15T06:00:00+00:00;15.02.2023 07:00:00;410.9;13.08;8.15;5.74
2023-02-15T06:15:00+00:00;15.02.2023 07:15:00;2023-02-15T06:30:00+00:00;15.02.2023 07:30:00;411.1;13.07;8.15;5.74
2023-02-15T04:15:00+00:00;15.02.2023 05:15:00;2023-02-15T04:30:00+00:00;15.02.2023 05:30:00;412.9;13.07;8.15;5.76
2023-02-15T04:45:00+00:00;15.02.2023 05:45:00;2023-02-15T05:00:00+00:00;15.02.2023 06:00:00;411.3;13.08;8.15;5.75
2023-02-15T03:15:00+00:00;15.02.2023 04:15:00;2023-02-15T03:30:00+00:00;15.02.2023 04:30:00;412.9;13.02;8.15;5.79
2023-02-15T03:30:00+00:00;15.02.2023 04:30:00;2023-02-15T03:45:00+00:00;15.02.2023 04:45:00;414.4;13.03;8.15;5.78
2023-02-15T03:45:00+00:00;15.02.2023 04:45:00;2023-02-15T04:00:00+00:00;15.02.2023 05:00:00;415.2;13.04;8.15;5.78
2023-02-15T04:00:00+00:00;15.02.2023 05:00:00;2023-02-15T04:15:00+00:00;15.02.2023 05:15:00;413.9;13.06;8.15;5.77
2023-02-15T08:15:00+00:00;15.02.2023 09:15:00;2023-02-15T08:30:00+00:00;15.02.2023 09:30:00;410.1;13.06;8.15;5.74
2023-02-15T08:45:00+00:00;15.02.2023 09:45:00;2023-02-15T09:00:00+00:00;15.02.2023 10:00:00;409.3;13.1;8.15;5.75
2023-02-15T09:15:00+00:00;15.02.2023 10:15:00;2023-02-15T09:30:00+00:00;15.02.2023 10:30:00;409.8;13.13;8.15;5.76
2023-02-15T09:30:00+00:00;15.02.2023 10:30:00;2023-02-15T09:45:00+00:00;15.02.2023 10:45:00;409.5;13.14;8.15;5.77
2023-02-15T10:45:00+00:00;15.02.2023 11:45:00;2023-02-15T11:00:00+00:00;15.02.2023 12:00:00;407.4;13.22;8.17;5.8
2023-02-15T11:00:00+00:00;15.02.2023 12:00:00;2023-02-15T11:15:00+00:00;15.02.2023 12:15:00;407.8;13.23;8.17;5.81
2023-02-15T12:00:00+00:00;15.02.2023 13:00:00;2023-02-15T12:15:00+00:00;15.02.2023 13:15:00;407.7;13.32;8.17;5.88
2023-02-15T12:15:00+00:00;15.02.2023 13:15:00;2023-02-15T12:30:00+00:00;15.02.2023 13:30:00;408.1;13.34;8.17;5.89
2023-02-15T11:45:00+00:00;15.02.2023 12:45:00;2023-02-15T12:00:00+00:00;15.02.2023 13:00:00;408.2;13.3;8.17;5.87
2023-02-15T14:00:00+00:00;15.02.2023 15:00:00;2023-02-15T14:15:00+00:00;15.02.2023 15:15:00;411.8;13.34;8.18;5.96
2023-02-15T16:00:00+00:00;15.02.2023 17:00:00;2023-02-15T16:15:00+00:00;15.02.2023 17:15:00;411.9;13.27;8.17;5.98
2023-02-15T16:15:00+00:00;15.02.2023 17:15:00;2023-02-15T16:30:00+00:00;15.02.2023 17:30:00;414.1;13.25;8.17;5.99
2023-02-15T17:00:00+00:00;15.02.2023 18:00:00;2023-02-15T17:15:00+00:00;15.02.2023 18:15:00;410.6;13.17;8.17;5.94
2023-02-15T17:15:00+00:00;15.02.2023 18:15:00;2023-02-15T17:30:00+00:00;15.02.2023 18:30:00;411.9;13.14;8.16;5.95
2023-02-15T17:30:00+00:00;15.02.2023 18:30:00;2023-02-15T17:45:00+00:00;15.02.2023 18:45:00;412.6;13.09;8.15;5.94
2023-02-15T21:15:00+00:00;15.02.2023 22:15:00;2023-02-15T21:30:00+00:00;15.02.2023 22:30:00;411.6;12.89;8.14;5.9
2023-02-15T21:30:00+00:00;15.02.2023 22:30:00;2023-02-15T21:45:00+00:00;15.02.2023 22:45:00;411.7;12.88;8.13;5.9
2023-02-15T19:15:00+00:00;15.02.2023 20:15:00;2023-02-15T19:30:00+00:00;15.02.2023 20:30:00;413.1;12.96;8.14;5.9
2023-02-15T18:30:00+00:00;15.02.2023 19:30:00;2023-02-15T18:45:00+00:00;15.02.2023 19:45:00;413.0;13.02;8.15;5.92
2023-02-15T20:30:00+00:00;15.02.2023 21:30:00;2023-02-15T20:45:00+00:00;15.02.2023 21:45:00;412.5;12.9;8.13;5.9
2023-02-15T20:45:00+00:00;15.02.2023 21:45:00;2023-02-15T21:00:00+00:00;15.02.2023 22:00:00;411.0;12.89;8.14;5.89
2023-02-15T20:15:00+00:00;15.02.2023 21:15:00;2023-02-15T20:30:00+00:00;15.02.2023 21:30:00;412.8;12.91;8.13;5.9
2023-02-16T00:00:00+00:00;16.02.2023 01:00:00;2023-02-16T00:15:00+00:00;16.02.2023 01:15:00;410.5;12.9;8.14;5.9
2023-02-16T01:00:00+00:00;16.02.2023 02:00:00;2023-02-16T01:15:00+00:00;16.02.2023 02:15:00;409.1;12.92;8.15;5.9
2023-02-16T01:45:00+00:00;16.02.2023 02:45:00;2023-02-16T02:00:00+00:00;16.02.2023 03:00:00;408.2;12.95;8.15;5.89
2023-02-16T03:15:00+00:00;16.02.2023 04:15:00;2023-02-16T03:30:00+00:00;16.02.2023 04:30:00;409.2;12.96;8.15;5.89
2023-02-16T04:00:00+00:00;16.02.2023 05:00:00;2023-02-16T04:15:00+00:00;16.02.2023 05:15:00;409.5;12.97;8.15;5.89
2023-02-16T05:00:00+00:00;16.02.2023 06:00:00;2023-02-16T05:15:00+00:00;16.02.2023 06:15:00;408.5;12.97;8.15;5.88
2023-02-16T06:00:00+00:00;16.02.2023 07:00:00;2023-02-16T06:15:00+00:00;16.02.2023 07:15:00;407.7;12.95;8.15;5.87
2023-02-16T06:30:00+00:00;16.02.2023 07:30:00;2023-02-16T06:45:00+00:00;16.02.2023 07:45:00;409.8;12.95;8.14;5.88
2023-02-16T08:30:00+00:00;16.02.2023 09:30:00;2023-02-16T08:45:00+00:00;16.02.2023 09:45:00;407.8;13.01;8.14;5.81
2023-02-16T07:30:00+00:00;16.02.2023 08:30:00;2023-02-16T07:45:00+00:00;16.02.2023 08:45:00;407.9;12.97;8.14;5.82
2023-02-16T08:15:00+00:00;16.02.2023 09:15:00;2023-02-16T08:30:00+00:00;16.02.2023 09:30:00;407.5;13.0;8.14;5.81
2023-02-17T02:15:00+00:00;17.02.2023 03:15:00;2023-02-17T02:30:00+00:00;17.02.2023 03:30:00;411.7;13.11;8.15;6.12
2023-02-17T03:30:00+00:00;17.02.2023 04:30:00;2023-02-17T03:45:00+00:00;17.02.2023 04:45:00;412.2;13.16;8.15;6.13
2023-02-17T04:15:00+00:00;17.02.2023 05:15:00;2023-02-17T04:30:00+00:00;17.02.2023 05:30:00;411.4;13.16;8.16;6.12
2023-02-17T04:30:00+00:00;17.02.2023 05:30:00;2023-02-17T04:45:00+00:00;17.02.2023 05:45:00;411.1;13.16;8.16;6.11
2023-02-17T05:00:00+00:00;17.02.2023 06:00:00;2023-02-17T05:15:00+00:00;17.02.2023 06:15:00;410.2;13.15;8.15;6.11
2023-02-17T07:45:00+00:00;17.02.2023 08:45:00;2023-02-17T08:00:00+00:00;17.02.2023 09:00:00;400.0;13.15;8.15;6.05
2023-02-17T08:15:00+00:00;17.02.2023 09:15:00;2023-02-17T08:30:00+00:00;17.02.2023 09:30:00;400.8;13.17;8.15;6.06
2023-02-17T10:15:00+00:00;17.02.2023 11:15:00;2023-02-17T10:30:00+00:00;17.02.2023 11:30:00;407.9;13.24;8.15;6.1
2023-02-17T10:30:00+00:00;17.02.2023 11:30:00;2023-02-17T10:45:00+00:00;17.02.2023 11:45:00;408.3;13.26;8.16;6.1
2023-02-17T10:45:00+00:00;17.02.2023 11:45:00;2023-02-17T11:00:00+00:00;17.02.2023 12:00:00;407.7;13.27;8.16;6.09
2023-02-17T11:30:00+00:00;17.02.2023 12:30:00;2023-02-17T11:45:00+00:00;17.02.2023 12:45:00;407.3;13.29;8.16;6.13
2023-02-17T12:00:00+00:00;17.02.2023 13:00:00;2023-02-17T12:15:00+00:00;17.02.2023 13:15:00;403.6;13.32;8.17;6.13
2023-02-17T13:00:00+00:00;17.02.2023 14:00:00;2023-02-17T13:15:00+00:00;17.02.2023 14:15:00;402.8;13.31;8.17;6.16
2023-02-17T14:30:00+00:00;17.02.2023 15:30:00;2023-02-17T14:45:00+00:00;17.02.2023 15:45:00;407.5;13.22;8.17;6.23
2023-02-17T14:45:00+00:00;17.02.2023 15:45:00;2023-02-17T15:00:00+00:00;17.02.2023 16:00:00;407.0;13.21;8.17;6.24
2023-02-17T15:30:00+00:00;17.02.2023 16:30:00;2023-02-17T15:45:00+00:00;17.02.2023 16:45:00;410.4;13.12;8.16;6.27
2023-02-17T17:30:00+00:00;17.02.2023 18:30:00;2023-02-17T17:45:00+00:00;17.02.2023 18:45:00;415.3;12.99;8.13;6.3
2023-02-17T22:15:00+00:00;17.02.2023 23:15:00;2023-02-17T22:30:00+00:00;17.02.2023 23:30:00;409.9;12.82;8.12;6.31
2023-02-17T23:00:00+00:00;18.02.2023 00:00:00;2023-02-17T23:15:00+00:00;18.02.2023 00:15:00;407.7;12.86;8.12;6.31
2023-02-17T23:15:00+00:00;18.02.2023 00:15:00;2023-02-17T23:30:00+00:00;18.02.2023 00:30:00;408.5;12.84;8.12;6.32
2023-02-17T16:30:00+00:00;17.02.2023 17:30:00;2023-02-17T16:45:00+00:00;17.02.2023 17:45:00;414.0;13.08;8.14;6.29
2023-02-17T19:15:00+00:00;17.02.2023 20:15:00;2023-02-17T19:30:00+00:00;17.02.2023 20:30:00;411.3;12.82;8.12;6.29
2023-02-17T18:45:00+00:00;17.02.2023 19:45:00;2023-02-17T19:00:00+00:00;17.02.2023 20:00:00;411.5;12.88;8.13;6.29
2023-02-17T19:00:00+00:00;17.02.2023 20:00:00;2023-02-17T19:15:00+00:00;17.02.2023 20:15:00;412.3;12.84;8.12;6.29
2023-02-17T20:15:00+00:00;17.02.2023 21:15:00;2023-02-17T20:30:00+00:00;17.02.2023 21:30:00;409.5;12.8;8.12;6.29
2023-02-17T20:30:00+00:00;17.02.2023 21:30:00;2023-02-17T20:45:00+00:00;17.02.2023 21:45:00;409.7;12.8;8.12;6.29
2023-02-17T21:15:00+00:00;17.02.2023 22:15:00;2023-02-17T21:30:00+00:00;17.02.2023 22:30:00;410.9;12.8;8.11;6.3
2023-02-18T00:00:00+00:00;18.02.2023 01:00:00;2023-02-18T00:15:00+00:00;18.02.2023 01:15:00;407.4;12.84;8.12;6.34
2023-02-17T23:45:00+00:00;18.02.2023 00:45:00;2023-02-18T00:00:00+00:00;18.02.2023 01:00:00;408.4;12.84;8.12;6.34
2023-02-18T01:00:00+00:00;18.02.2023 02:00:00;2023-02-18T01:15:00+00:00;18.02.2023 02:15:00;408.1;12.89;8.13;6.36
2023-02-18T01:45:00+00:00;18.02.2023 02:45:00;2023-02-18T02:00:00+00:00;18.02.2023 03:00:00;409.0;12.95;8.14;6.39
2023-02-18T02:45:00+00:00;18.02.2023 03:45:00;2023-02-18T03:00:00+00:00;18.02.2023 04:00:00;412.7;12.99;8.14;6.41
2023-02-18T04:00:00+00:00;18.02.2023 05:00:00;2023-02-18T04:15:00+00:00;18.02.2023 05:15:00;425.4;13.08;8.15;6.44
2023-02-18T06:00:00+00:00;18.02.2023 07:00:00;2023-02-18T06:15:00+00:00;18.02.2023 07:15:00;409.8;13.11;8.16;6.49
2023-02-18T07:00:00+00:00;18.02.2023 08:00:00;2023-02-18T07:15:00+00:00;18.02.2023 08:15:00;408.3;13.13;8.16;6.52
2023-02-18T07:30:00+00:00;18.02.2023 08:30:00;2023-02-18T07:45:00+00:00;18.02.2023 08:45:00;409.4;13.14;8.16;6.54
2023-02-18T07:45:00+00:00;18.02.2023 08:45:00;2023-02-18T08:00:00+00:00;18.02.2023 09:00:00;409.4;13.15;8.16;6.54
2023-02-18T09:15:00+00:00;18.02.2023 10:15:00;2023-02-18T09:30:00+00:00;18.02.2023 10:30:00;405.2;13.21;8.16;6.58
2023-02-18T10:15:00+00:00;18.02.2023 11:15:00;2023-02-18T10:30:00+00:00;18.02.2023 11:30:00;402.5;13.22;8.17;6.61
2023-02-18T11:15:00+00:00;18.02.2023 12:15:00;2023-02-18T11:30:00+00:00;18.02.2023 12:30:00;401.7;13.25;8.17;6.65
2023-02-18T11:30:00+00:00;18.02.2023 12:30:00;2023-02-18T11:45:00+00:00;18.02.2023 12:45:00;401.5;13.26;8.17;6.65
2023-02-18T11:00:00+00:00;18.02.2023 12:00:00;2023-02-18T11:15:00+00:00;18.02.2023 12:15:00;401.6;13.25;8.17;6.63
2023-02-18T18:45:00+00:00;18.02.2023 19:45:00;2023-02-18T19:00:00+00:00;18.02.2023 20:00:00;410.6;12.75;8.12;6.76
2023-02-18T19:15:00+00:00;18.02.2023 20:15:00;2023-02-18T19:30:00+00:00;18.02.2023 20:30:00;410.3;12.72;8.11;6.78
2023-02-18T19:00:00+00:00;18.02.2023 20:00:00;2023-02-18T19:15:00+00:00;18.02.2023 20:15:00;410.5;12.73;8.12;6.77
2023-02-18T20:00:00+00:00;18.02.2023 21:00:00;2023-02-18T20:15:00+00:00;18.02.2023 21:15:00;407.9;12.71;8.12;6.8
2023-02-18T20:45:00+00:00;18.02.2023 21:45:00;2023-02-18T21:00:00+00:00;18.02.2023 22:00:00;406.8;12.71;8.12;6.86
2023-02-18T21:45:00+00:00;18.02.2023 22:45:00;2023-02-18T22:00:00+00:00;18.02.2023 23:00:00;406.0;12.74;8.12;6.87
2023-02-18T06:45:00+00:00;18.02.2023 07:45:00;2023-02-18T07:00:00+00:00;18.02.2023 08:00:00;408.2;13.12;8.16;6.51
2023-02-18T08:45:00+00:00;18.02.2023 09:45:00;2023-02-18T09:00:00+00:00;18.02.2023 10:00:00;406.1;13.2;8.16;6.56
2023-02-18T12:30:00+00:00;18.02.2023 13:30:00;2023-02-18T12:45:00+00:00;18.02.2023 13:45:00;401.7;13.26;8.17;6.67
2023-02-18T13:15:00+00:00;18.02.2023 14:15:00;2023-02-18T13:30:00+00:00;18.02.2023 14:30:00;401.7;13.22;8.17;6.67
2023-02-18T13:45:00+00:00;18.02.2023 14:45:00;2023-02-18T14:00:00+00:00;18.02.2023 15:00:00;401.1;13.19;8.16;6.67
2023-02-18T14:00:00+00:00;18.02.2023 15:00:00;2023-02-18T14:15:00+00:00;18.02.2023 15:15:00;400.8;13.18;8.16;6.67
2023-02-18T14:15:00+00:00;18.02.2023 15:15:00;2023-02-18T14:30:00+00:00;18.02.2023 15:30:00;400.8;13.15;8.16;6.69
2023-02-18T15:15:00+00:00;18.02.2023 16:15:00;2023-02-18T15:30:00+00:00;18.02.2023 16:30:00;405.1;13.09;8.15;6.73
2023-02-18T15:30:00+00:00;18.02.2023 16:30:00;2023-02-18T15:45:00+00:00;18.02.2023 16:45:00;405.8;13.07;8.15;6.74
2023-02-18T18:15:00+00:00;18.02.2023 19:15:00;2023-02-18T18:30:00+00:00;18.02.2023 19:30:00;411.6;12.8;8.12;6.75
2023-02-19T00:45:00+00:00;19.02.2023 01:45:00;2023-02-19T01:00:00+00:00;19.02.2023 02:00:00;406.5;12.85;8.14;6.98
2023-02-19T03:15:00+00:00;19.02.2023 04:15:00;2023-02-19T03:30:00+00:00;19.02.2023 04:30:00;407.7;12.97;8.16;7.06
2023-02-19T03:30:00+00:00;19.02.2023 04:30:00;2023-02-19T03:45:00+00:00;19.02.2023 04:45:00;408.5;12.99;8.16;7.06
2023-02-19T01:30:00+00:00;19.02.2023 02:30:00;2023-02-19T01:45:00+00:00;19.02.2023 02:45:00;406.3;12.93;8.15;6.99
2023-02-19T01:00:00+00:00;19.02.2023 02:00:00;2023-02-19T01:15:00+00:00;19.02.2023 02:15:00;407.5;12.88;8.14;6.98
2023-02-16T08:45:00+00:00;16.02.2023 09:45:00;2023-02-16T09:00:00+00:00;16.02.2023 10:00:00;406.3;13.04;8.15;5.81
2023-02-16T12:30:00+00:00;16.02.2023 13:30:00;2023-02-16T12:45:00+00:00;16.02.2023 13:45:00;408.5;13.37;8.18;5.99
2023-02-16T07:45:00+00:00;16.02.2023 08:45:00;2023-02-16T08:00:00+00:00;16.02.2023 09:00:00;406.8;12.97;8.15;5.8
2023-02-16T10:45:00+00:00;16.02.2023 11:45:00;2023-02-16T11:00:00+00:00;16.02.2023 12:00:00;406.7;13.23;8.16;5.88
2023-02-16T11:30:00+00:00;16.02.2023 12:30:00;2023-02-16T11:45:00+00:00;16.02.2023 12:45:00;407.2;13.28;8.17;5.93
2023-02-16T11:15:00+00:00;16.02.2023 12:15:00;2023-02-16T11:30:00+00:00;16.02.2023 12:30:00;407.3;13.25;8.17;5.92
2023-02-16T13:15:00+00:00;16.02.2023 14:15:00;2023-02-16T13:30:00+00:00;16.02.2023 14:30:00;410.6;13.37;8.19;6.03
2023-02-16T13:45:00+00:00;16.02.2023 14:45:00;2023-02-16T14:00:00+00:00;16.02.2023 15:00:00;410.8;13.38;8.19;6.03
2023-02-16T14:30:00+00:00;16.02.2023 15:30:00;2023-02-16T14:45:00+00:00;16.02.2023 15:45:00;415.1;13.3;8.18;6.08
2023-02-16T16:15:00+00:00;16.02.2023 17:15:00;2023-02-16T16:30:00+00:00;16.02.2023 17:30:00;415.9;13.13;8.16;6.07
2023-02-16T16:30:00+00:00;16.02.2023 17:30:00;2023-02-16T16:45:00+00:00;16.02.2023 17:45:00;416.2;13.11;8.16;6.08
2023-02-16T16:00:00+00:00;16.02.2023 17:00:00;2023-02-16T16:15:00+00:00;16.02.2023 17:15:00;416.3;13.17;8.17;6.08
2023-02-16T17:00:00+00:00;16.02.2023 18:00:00;2023-02-16T17:15:00+00:00;16.02.2023 18:15:00;416.2;13.06;8.15;6.08
2023-02-16T18:45:00+00:00;16.02.2023 19:45:00;2023-02-16T19:00:00+00:00;16.02.2023 20:00:00;413.2;12.92;8.14;6.08
2023-02-16T20:00:00+00:00;16.02.2023 21:00:00;2023-02-16T20:15:00+00:00;16.02.2023 21:15:00;413.2;12.84;8.13;6.06
2023-02-16T22:00:00+00:00;16.02.2023 23:00:00;2023-02-16T22:15:00+00:00;16.02.2023 23:15:00;409.6;12.9;8.13;6.04
2023-02-16T22:30:00+00:00;16.02.2023 23:30:00;2023-02-16T22:45:00+00:00;16.02.2023 23:45:00;412.1;12.89;8.13;6.06
2023-02-16T23:30:00+00:00;17.02.2023 00:30:00;2023-02-16T23:45:00+00:00;17.02.2023 00:45:00;412.7;12.93;8.14;6.08
2023-02-17T01:00:00+00:00;17.02.2023 02:00:00;2023-02-17T01:15:00+00:00;17.02.2023 02:15:00;411.4;13.02;8.15;6.09
2023-02-17T01:15:00+00:00;17.02.2023 02:15:00;2023-02-17T01:30:00+00:00;17.02.2023 02:30:00;412.0;13.04;8.15;6.11
2023-02-16T21:30:00+00:00;16.02.2023 22:30:00;2023-02-16T21:45:00+00:00;16.02.2023 22:45:00;410.3;12.89;8.13;6.04
2023-02-17T00:00:00+00:00;17.02.2023 01:00:00;2023-02-17T00:15:00+00:00;17.02.2023 01:15:00;411.1;12.95;8.14;6.08
2023-02-19T05:15:00+00:00;19.02.2023 06:15:00;2023-02-19T05:30:00+00:00;19.02.2023 06:30:00;405.2;13.03;8.17;7.08
2023-02-19T05:30:00+00:00;19.02.2023 06:30:00;2023-02-19T05:45:00+00:00;19.02.2023 06:45:00;404.7;13.03;8.17;7.08
2023-02-19T06:30:00+00:00;19.02.2023 07:30:00;2023-02-19T06:45:00+00:00;19.02.2023 07:45:00;405.3;13.0;8.17;7.1
2023-02-19T06:45:00+00:00;19.02.2023 07:45:00;2023-02-19T07:00:00+00:00;19.02.2023 08:00:00;404.4;13.0;8.17;7.1
2023-02-19T07:00:00+00:00;19.02.2023 08:00:00;2023-02-19T07:15:00+00:00;19.02.2023 08:15:00;403.9;13.01;8.17;7.1
2023-02-19T11:15:00+00:00;19.02.2023 12:15:00;2023-02-19T11:30:00+00:00;19.02.2023 12:30:00;403.3;13.12;8.19;7.22
2023-02-19T13:15:00+00:00;19.02.2023 14:15:00;2023-02-19T13:30:00+00:00;19.02.2023 14:30:00;402.1;13.19;8.2;7.29
2023-02-19T14:00:00+00:00;19.02.2023 15:00:00;2023-02-19T14:15:00+00:00;19.02.2023 15:15:00;402.7;13.16;8.2;7.29
2023-02-19T15:00:00+00:00;19.02.2023 16:00:00;2023-02-19T15:15:00+00:00;19.02.2023 16:15:00;403.0;13.07;8.19;7.31
2023-02-19T15:45:00+00:00;19.02.2023 16:45:00;2023-02-19T16:00:00+00:00;19.02.2023 17:00:00;403.5;13.02;8.19;7.31
2023-02-19T16:15:00+00:00;19.02.2023 17:15:00;2023-02-19T16:30:00+00:00;19.02.2023 17:30:00;401.8;12.94;8.18;7.34
2023-02-19T18:30:00+00:00;19.02.2023 19:30:00;2023-02-19T18:45:00+00:00;19.02.2023 19:45:00;409.4;12.72;8.15;7.33
2023-02-19T19:00:00+00:00;19.02.2023 20:00:00;2023-02-19T19:15:00+00:00;19.02.2023 20:15:00;408.7;12.66;8.14;7.35
2023-02-19T20:15:00+00:00;19.02.2023 21:15:00;2023-02-19T20:30:00+00:00;19.02.2023 21:30:00;406.3;12.6;8.13;7.37
2023-02-19T20:30:00+00:00;19.02.2023 21:30:00;2023-02-19T20:45:00+00:00;19.02.2023 21:45:00;406.2;12.59;8.13;7.38
2023-02-19T18:45:00+00:00;19.02.2023 19:45:00;2023-02-19T19:00:00+00:00;19.02.2023 20:00:00;408.9;12.68;8.14;7.33
2023-02-19T21:15:00+00:00;19.02.2023 22:15:00;2023-02-19T21:30:00+00:00;19.02.2023 22:30:00;406.9;12.59;8.13;7.4
2023-02-19T21:00:00+00:00;19.02.2023 22:00:00;2023-02-19T21:15:00+00:00;19.02.2023 22:15:00;406.0;12.59;8.14;7.39
2023-02-19T22:30:00+00:00;19.02.2023 23:30:00;2023-02-19T22:45:00+00:00;19.02.2023 23:45:00;407.2;12.6;8.14;7.45
2023-02-20T01:30:00+00:00;20.02.2023 02:30:00;2023-02-20T01:45:00+00:00;20.02.2023 02:45:00;407.8;12.69;8.15;7.55
2023-02-20T00:45:00+00:00;20.02.2023 01:45:00;2023-02-20T01:00:00+00:00;20.02.2023 02:00:00;407.9;12.68;8.16;7.52
2023-02-20T02:45:00+00:00;20.02.2023 03:45:00;2023-02-20T03:00:00+00:00;20.02.2023 04:00:00;407.5;12.7;8.16;7.54
2023-02-20T03:15:00+00:00;20.02.2023 04:15:00;2023-02-20T03:30:00+00:00;20.02.2023 04:30:00;412.5;12.69;8.16;7.55
2023-02-20T02:00:00+00:00;20.02.2023 03:00:00;2023-02-20T02:15:00+00:00;20.02.2023 03:15:00;406.8;12.69;8.16;7.53
2023-02-20T02:15:00+00:00;20.02.2023 03:15:00;2023-02-20T02:30:00+00:00;20.02.2023 03:30:00;407.1;12.68;8.16;7.55
2023-02-20T04:00:00+00:00;20.02.2023 05:00:00;2023-02-20T04:15:00+00:00;20.02.2023 05:15:00;414.0;12.71;8.16;7.55
2023-02-20T04:15:00+00:00;20.02.2023 05:15:00;2023-02-20T04:30:00+00:00;20.02.2023 05:30:00;413.9;12.71;8.16;7.55
2023-02-20T04:30:00+00:00;20.02.2023 05:30:00;2023-02-20T04:45:00+00:00;20.02.2023 05:45:00;413.5;12.7;8.16;7.55
2023-02-20T05:30:00+00:00;20.02.2023 06:30:00;2023-02-20T05:45:00+00:00;20.02.2023 06:45:00;409.9;12.73;8.17;7.56
2023-02-20T07:45:00+00:00;20.02.2023 08:45:00;2023-02-20T08:00:00+00:00;20.02.2023 09:00:00;404.6;12.8;8.18;7.57
2023-02-20T07:30:00+00:00;20.02.2023 08:30:00;2023-02-20T07:45:00+00:00;20.02.2023 08:45:00;405.4;12.8;8.18;7.57
2023-02-20T08:30:00+00:00;20.02.2023 09:30:00;2023-02-20T08:45:00+00:00;20.02.2023 09:45:00;405.1;12.85;8.19;7.59
2023-02-20T09:30:00+00:00;20.02.2023 10:30:00;2023-02-20T09:45:00+00:00;20.02.2023 10:45:00;406.2;12.95;8.2;7.6
2023-02-20T09:45:00+00:00;20.02.2023 10:45:00;2023-02-20T10:00:00+00:00;20.02.2023 11:00:00;405.2;12.98;8.21;7.61
2023-02-20T10:00:00+00:00;20.02.2023 11:00:00;2023-02-20T10:15:00+00:00;20.02.2023 11:15:00;404.3;13.02;8.21;7.61
2023-02-20T11:00:00+00:00;20.02.2023 12:00:00;2023-02-20T11:15:00+00:00;20.02.2023 12:15:00;402.1;13.14;8.22;7.67
2023-02-20T11:45:00+00:00;20.02.2023 12:45:00;2023-02-20T12:00:00+00:00;20.02.2023 13:00:00;400.5;13.22;8.23;7.7
2023-02-20T14:00:00+00:00;20.02.2023 15:00:00;2023-02-20T14:15:00+00:00;20.02.2023 15:15:00;401.3;13.21;8.23;7.78
2023-02-20T14:15:00+00:00;20.02.2023 15:15:00;2023-02-20T14:30:00+00:00;20.02.2023 15:30:00;402.7;13.18;8.23;7.79
