Startzeitpunkt;Start_text;Endezeitpunkt;Ende_text;Elektrische Leitfähigkeit [µS/cm];Sauerstoffgehalt [mg/L];pH-Wert;Temperatur [°C]
2023-01-31T06:45:00+00:00;31.01.2023 07:45:00;2023-01-31T07:00:00+00:00;31.01.2023 08:00:00;409.5;12.39;8.05;5.57
2023-01-31T07:30:00+00:00;31.01.2023 08:30:00;2023-01-31T07:45:00+00:00;31.01.2023 08:45:00;411.8;12.34;8.06;5.57
2023-01-31T08:15:00+00:00;31.01.2023 09:15:00;2023-01-31T08:30:00+00:00;31.01.2023 09:30:00;412.8;12.36;8.06;5.56
2023-01-31T09:15:00+00:00;31.01.2023 10:15:00;2023-01-31T09:30:00+00:00;31.01.2023 10:30:00;413.9;12.35;8.06;5.56
2023-01-31T08:45:00+00:00;31.01.2023 09:45:00;2023-01-31T09:00:00+00:00;31.01.2023 10:00:00;414.4;12.34;8.06;5.57
2023-01-31T10:00:00+00:00;31.01.2023 11:00:00;2023-01-31T10:15:00+00:00;31.01.2023 11:15:00;416.9;12.35;8.06;5.57
2023-01-31T10:15:00+00:00;31.01.2023 11:15:00;2023-01-31T10:30:00+00:00;31.01.2023 11:30:00;417.2;12.35;8.06;5.57
2023-01-31T23:30:00+00:00;01.02.2023 00:30:00;2023-01-31T23:45:00+00:00;01.02.2023 00:45:00;406.8;12.5;8.06;5.57
2023-02-01T00:45:00+00:00;01.02.2023 01:45:00;2023-02-01T01:00:00+00:00;01.02.2023 02:00:00;410.9;12.6;8.07;5.6
2023-02-01T01:30:00+00:00;01.02.2023 02:30:00;2023-02-01T01:45:00+00:00;01.02.2023 02:45:00;410.0;12.6;8.08;5.59
2023-01-29T03:00:00+00:00;29.01.2023 04:00:00;2023-01-29T03:15:00+00:00;29.01.2023 04:15:00;409.7;12.04;8.03;5.79
2023-01-29T04:00:00+00:00;29.01.2023 05:00:00;2023-01-29T04:15:00+00:00;29.01.2023 05:15:00;409.8;12.03;8.04;5.78
2023-01-29T04:15:00+00:00;29.01.2023 05:15:00;2023-01-29T04:30:00+00:00;29.01.2023 05:30:00;410.9;12.02;8.03;5.79
2023-01-28T23:00:00+00:00;29.01.2023 00:00:00;2023-01-28T23:15:00+00:00;29.01.2023 00:15:00;410.5;12.1;8.05;5.85
2023-01-28T23:45:00+00:00;29.01.2023 00:45:00;2023-01-29T00:00:00+00:00;29.01.2023 01:00:00;407.3;12.17;8.05;5.82
2023-01-29T00:30:00+00:00;29.01.2023 01:30:00;2023-01-29T00:45:00+00:00;29.01.2023 01:45:00;407.8;12.13;8.04;5.82
2023-01-29T01:15:00+00:00;29.01.2023 02:15:00;2023-01-29T01:30:00+00:00;29.01.2023 02:30:00;405.1;12.13;8.04;5.8
2023-01-29T04:30:00+00:00;29.01.2023 05:30:00;2023-01-29T04:45:00+00:00;29.01.2023 05:45:00;411.8;12.03;8.03;5.79
2023-01-29T03:45:00+00:00;29.01.2023 04:45:00;2023-01-29T04:00:00+00:00;29.01.2023 05:00:00;408.6;12.06;8.04;5.78
2023-01-29T23:30:00+00:00;30.01.2023 00:30:00;2023-01-29T23:45:00+00:00;30.01.2023 00:45:00;417.7;12.26;8.06;5.7
2023-01-29T06:15:00+00:00;29.01.2023 07:15:00;2023-01-29T06:30:00+00:00;29.01.2023 07:30:00;417.3;12.04;8.04;5.78
2023-01-29T05:00:00+00:00;29.01.2023 06:00:00;2023-01-29T05:15:00+00:00;29.01.2023 06:15:00;412.0;12.04;8.04;5.78
2023-01-29T05:30:00+00:00;29.01.2023 06:30:00;2023-01-29T05:45:00+00:00;29.01.2023 06:45:00;413.5;12.01;8.03;5.78
2023-01-29T07:15:00+00:00;29.01.2023 08:15:00;2023-01-29T07:30:00+00:00;29.01.2023 08:30:00;419.9;12.01;8.03;5.79
2023-01-29T08:30:00+00:00;29.01.2023 09:30:00;2023-01-29T08:45:00+00:00;29.01.2023 09:45:00;416.8;12.02;8.04;5.77
2023-01-29T08:00:00+00:00;29.01.2023 09:00:00;2023-01-29T08:15:00+00:00;29.01.2023 09:15:00;417.1;12.03;8.04;5.77
2023-01-29T09:00:00+00:00;29.01.2023 10:00:00;2023-01-29T09:15:00+00:00;29.01.2023 10:15:00;414.6;12.05;8.04;5.76
2023-01-29T09:30:00+00:00;29.01.2023 10:30:00;2023-01-29T09:45:00+00:00;29.01.2023 10:45:00;415.8;12.02;8.04;5.76
2023-01-29T10:30:00+00:00;29.01.2023 11:30:00;2023-01-29T10:45:00+00:00;29.01.2023 11:45:00;415.0;12.05;8.04;5.75
2023-01-29T18:00:00+00:00;29.01.2023 19:00:00;2023-01-29T18:15:00+00:00;29.01.2023 19:15:00;421.2;12.07;8.04;5.78
2023-01-29T17:45:00+00:00;29.01.2023 18:45:00;2023-01-29T18:00:00+00:00;29.01.2023 19:00:00;422.0;12.08;8.04;5.78
2023-01-29T18:15:00+00:00;29.01.2023 19:15:00;2023-01-29T18:30:00+00:00;29.01.2023 19:30:00;418.7;12.07;8.04;5.76
2023-01-29T20:45:00+00:00;29.01.2023 21:45:00;2023-01-29T21:00:00+00:00;29.01.2023 22:00:00;413.4;12.11;8.04;5.72
2023-01-29T21:15:00+00:00;29.01.2023 22:15:00;2023-01-29T21:30:00+00:00;29.01.2023 22:30:00;413.8;12.17;8.05;5.7
2023-01-29T22:15:00+00:00;29.01.2023 23:15:00;2023-01-29T22:30:00+00:00;29.01.2023 23:30:00;416.2;12.19;8.05;5.7
2023-01-29T23:45:00+00:00;30.01.2023 00:45:00;2023-01-30T00:00:00+00:00;30.01.2023 01:00:00;417.3;12.28;8.06;5.69
2023-01-30T00:15:00+00:00;30.01.2023 01:15:00;2023-01-30T00:30:00+00:00;30.01.2023 01:30:00;418.5;12.25;8.06;5.7
2023-01-29T10:45:00+00:00;29.01.2023 11:45:00;2023-01-29T11:00:00+00:00;29.01.2023 12:00:00;415.5;12.04;8.04;5.76
2023-01-29T14:45:00+00:00;29.01.2023 15:45:00;2023-01-29T15:00:00+00:00;29.01.2023 16:00:00;420.2;12.03;8.04;5.8
2023-01-29T15:15:00+00:00;29.01.2023 16:15:00;2023-01-29T15:30:00+00:00;29.01.2023 16:30:00;422.2;12.01;8.04;5.81
2023-01-29T15:30:00+00:00;29.01.2023 16:30:00;2023-01-29T15:45:00+00:00;29.01.2023 16:45:00;421.2;12.01;8.04;5.8
2023-01-29T16:15:00+00:00;29.01.2023 17:15:00;2023-01-29T16:30:00+00:00;29.01.2023 17:30:00;420.2;12.06;8.04;5.8
2023-01-29T15:45:00+00:00;29.01.2023 16:45:00;2023-01-29T16:00:00+00:00;29.01.2023 17:00:00;420.2;12.05;8.04;5.8
2023-01-29T17:00:00+00:00;29.01.2023 18:00:00;2023-01-29T17:15:00+00:00;29.01.2023 18:15:00;421.9;12.08;8.04;5.79
2023-01-29T22:00:00+00:00;29.01.2023 23:00:00;2023-01-29T22:15:00+00:00;29.01.2023 23:15:00;416.5;12.19;8.05;5.71
2023-01-30T01:00:00+00:00;30.01.2023 02:00:00;2023-01-30T01:15:00+00:00;30.01.2023 02:15:00;417.8;12.32;8.06;5.68
2023-01-30T01:30:00+00:00;30.01.2023 02:30:00;2023-01-30T01:45:00+00:00;30.01.2023 02:45:00;418.7;12.31;8.06;5.67
2023-01-30T02:30:00+00:00;30.01.2023 03:30:00;2023-01-30T02:45:00+00:00;30.01.2023 03:45:00;422.3;12.33;8.06;5.65
2023-01-30T03:30:00+00:00;30.01.2023 04:30:00;2023-01-30T03:45:00+00:00;30.01.2023 04:45:00;422.8;12.28;8.06;5.64
2023-01-30T03:15:00+00:00;30.01.2023 04:15:00;2023-01-30T03:30:00+00:00;30.01.2023 04:30:00;424.1;12.28;8.06;5.65
2023-02-01T00:30:00+00:00;01.02.2023 01:30:00;2023-02-01T00:45:00+00:00;01.02.2023 01:45:00;410.4;12.57;8.07;5.59
2023-01-31T13:30:00+00:00;31.01.2023 14:30:00;2023-01-31T13:45:00+00:00;31.01.2023 14:45:00;418.0;12.26;8.05;5.59
2023-01-31T11:00:00+00:00;31.01.2023 12:00:00;2023-01-31T11:15:00+00:00;31.01.2023 12:15:00;418.7;12.3;8.06;5.59
2023-01-31T11:30:00+00:00;31.01.2023 12:30:00;2023-01-31T11:45:00+00:00;31.01.2023 12:45:00;416.9;12.27;8.06;5.59
2023-01-31T12:00:00+00:00;31.01.2023 13:00:00;2023-01-31T12:15:00+00:00;31.01.2023 13:15:00;416.9;12.3;8.06;5.59
2023-01-31T14:30:00+00:00;31.01.2023 15:30:00;2023-01-31T14:45:00+00:00;31.01.2023 15:45:00;422.6;12.29;8.05;5.55
2023-01-31T16:15:00+00:00;31.01.2023 17:15:00;2023-01-31T16:30:00+00:00;31.01.2023 17:30:00;405.4;12.3;8.03;5.51
2023-01-31T15:45:00+00:00;31.01.2023 16:45:00;2023-01-31T16:00:00+00:00;31.01.2023 17:00:00;410.1;12.32;8.04;5.53
2023-01-31T17:45:00+00:00;31.01.2023 18:45:00;2023-01-31T18:00:00+00:00;31.01.2023 19:00:00;395.0;12.31;8.02;5.49
2023-01-31T17:00:00+00:00;31.01.2023 18:00:00;2023-01-31T17:15:00+00:00;31.01.2023 18:15:00;398.5;12.35;8.03;5.49
2023-01-31T17:30:00+00:00;31.01.2023 18:30:00;2023-01-31T17:45:00+00:00;31.01.2023 18:45:00;395.6;12.32;8.02;5.49
2023-01-31T16:45:00+00:00;31.01.2023 17:45:00;2023-01-31T17:00:00+00:00;31.01.2023 18:00:00;401.8;12.33;8.03;5.51
2023-01-31T20:30:00+00:00;31.01.2023 21:30:00;2023-01-31T20:45:00+00:00;31.01.2023 21:45:00;400.4;12.31;8.03;5.49
2023-01-31T21:00:00+00:00;31.01.2023 22:00:00;2023-01-31T21:15:00+00:00;31.01.2023 22:15:00;398.0;12.41;8.04;5.47
2023-01-31T19:45:00+00:00;31.01.2023 20:45:00;2023-01-31T20:00:00+00:00;31.01.2023 21:00:00;392.7;12.32;8.03;5.47
2023-01-31T23:00:00+00:00;01.02.2023 00:00:00;2023-01-31T23:15:00+00:00;01.02.2023 00:15:00;405.3;12.47;8.06;5.55
2023-01-31T22:00:00+00:00;31.01.2023 23:00:00;2023-01-31T22:15:00+00:00;31.01.2023 23:15:00;402.1;12.45;8.05;5.5
2023-02-01T05:30:00+00:00;01.02.2023 06:30:00;2023-02-01T05:45:00+00:00;01.02.2023 06:45:00;406.5;12.56;8.06;5.6
2023-02-01T05:00:00+00:00;01.02.2023 06:00:00;2023-02-01T05:15:00+00:00;01.02.2023 06:15:00;408.9;12.48;8.06;5.61
2023-02-01T02:30:00+00:00;01.02.2023 03:30:00;2023-02-01T02:45:00+00:00;01.02.2023 03:45:00;408.7;12.65;8.08;5.59
2023-02-01T02:45:00+00:00;01.02.2023 03:45:00;2023-02-01T03:00:00+00:00;01.02.2023 04:00:00;408.6;12.63;8.08;5.59
2023-02-01T04:15:00+00:00;01.02.2023 05:15:00;2023-02-01T04:30:00+00:00;01.02.2023 05:30:00;407.5;12.56;8.07;5.6
2023-02-01T03:45:00+00:00;01.02.2023 04:45:00;2023-02-01T04:00:00+00:00;01.02.2023 05:00:00;407.1;12.6;8.08;5.59
2023-02-01T18:00:00+00:00;01.02.2023 19:00:00;2023-02-01T18:15:00+00:00;01.02.2023 19:15:00;418.3;12.35;8.05;5.72
2023-02-01T07:15:00+00:00;01.02.2023 08:15:00;2023-02-01T07:30:00+00:00;01.02.2023 08:30:00;404.4;12.58;8.06;5.6
2023-02-01T08:30:00+00:00;01.02.2023 09:30:00;2023-02-01T08:45:00+00:00;01.02.2023 09:45:00;407.1;12.57;8.06;5.63
2023-02-01T09:15:00+00:00;01.02.2023 10:15:00;2023-02-01T09:30:00+00:00;01.02.2023 10:30:00;409.8;12.53;8.06;5.65
2023-02-01T12:15:00+00:00;01.02.2023 13:15:00;2023-02-01T12:30:00+00:00;01.02.2023 13:30:00;421.2;12.45;8.07;5.72
2023-02-01T13:15:00+00:00;01.02.2023 14:15:00;2023-02-01T13:30:00+00:00;01.02.2023 14:30:00;423.4;12.4;8.06;5.73
2023-02-01T14:30:00+00:00;01.02.2023 15:30:00;2023-02-01T14:45:00+00:00;01.02.2023 15:45:00;423.4;12.36;8.06;5.72
2023-02-01T08:00:00+00:00;01.02.2023 09:00:00;2023-02-01T08:15:00+00:00;01.02.2023 09:15:00;406.0;12.57;8.07;5.62
2023-02-01T10:00:00+00:00;01.02.2023 11:00:00;2023-02-01T10:15:00+00:00;01.02.2023 11:15:00;413.9;12.47;8.06;5.67
2023-02-01T10:15:00+00:00;01.02.2023 11:15:00;2023-02-01T10:30:00+00:00;01.02.2023 11:30:00;416.7;12.49;8.06;5.68
2023-02-01T11:30:00+00:00;01.02.2023 12:30:00;2023-02-01T11:45:00+00:00;01.02.2023 12:45:00;424.4;12.41;8.06;5.72
2023-02-01T11:45:00+00:00;01.02.2023 12:45:00;2023-02-01T12:00:00+00:00;01.02.2023 13:00:00;424.1;12.42;8.06;5.73
2023-02-01T15:00:00+00:00;01.02.2023 16:00:00;2023-02-01T15:15:00+00:00;01.02.2023 16:15:00;422.1;12.37;8.06;5.71
2023-02-01T15:45:00+00:00;01.02.2023 16:45:00;2023-02-01T16:00:00+00:00;01.02.2023 17:00:00;426.4;12.33;8.05;5.74
2023-02-01T17:00:00+00:00;01.02.2023 18:00:00;2023-02-01T17:15:00+00:00;01.02.2023 18:15:00;425.3;12.35;8.05;5.74
2023-02-01T16:45:00+00:00;01.02.2023 17:45:00;2023-02-01T17:00:00+00:00;01.02.2023 18:00:00;426.6;12.34;8.05;5.74
2023-02-01T17:30:00+00:00;01.02.2023 18:30:00;2023-02-01T17:45:00+00:00;01.02.2023 18:45:00;421.4;12.33;8.05;5.72
2023-02-01T17:15:00+00:00;01.02.2023 18:15:00;2023-02-01T17:30:00+00:00;01.02.2023 18:30:00;423.3;12.33;8.05;5.73
2023-02-01T16:00:00+00:00;01.02.2023 17:00:00;2023-02-01T16:15:00+00:00;01.02.2023 17:15:00;425.4;12.37;8.06;5.72
2023-02-01T20:45:00+00:00;01.02.2023 21:45:00;2023-02-01T21:00:00+00:00;01.02.2023 22:00:00;405.1;12.4;8.06;5.67
2023-02-01T21:15:00+00:00;01.02.2023 22:15:00;2023-02-01T21:30:00+00:00;01.02.2023 22:30:00;406.1;12.42;8.05;5.67
2023-02-01T21:00:00+00:00;01.02.2023 22:00:00;2023-02-01T21:15:00+00:00;01.02.2023 22:15:00;405.3;12.41;8.05;5.67
2023-02-01T23:15:00+00:00;02.02.2023 00:15:00;2023-02-01T23:30:00+00:00;02.02.2023 00:30:00;410.8;12.46;8.07;5.69
2023-02-01T22:45:00+00:00;01.02.2023 23:45:00;2023-02-01T23:00:00+00:00;02.02.2023 00:00:00;410.2;12.46;8.06;5.69
2023-02-01T22:15:00+00:00;01.02.2023 23:15:00;2023-02-01T22:30:00+00:00;01.02.2023 23:30:00;410.1;12.42;8.06;5.68
2023-02-02T00:15:00+00:00;02.02.2023 01:15:00;2023-02-02T00:30:00+00:00;02.02.2023 01:30:00;410.9;12.51;8.08;5.71
2023-02-01T23:45:00+00:00;02.02.2023 00:45:00;2023-02-02T00:00:00+00:00;02.02.2023 01:00:00;412.6;12.48;8.07;5.72
2023-02-02T01:30:00+00:00;02.02.2023 02:30:00;2023-02-02T01:45:00+00:00;02.02.2023 02:45:00;410.5;12.55;8.08;5.72
2023-02-06T00:30:00+00:00;06.02.2023 01:30:00;2023-02-06T00:45:00+00:00;06.02.2023 01:45:00;431.6;12.32;7.97;6.67
2023-02-06T01:00:00+00:00;06.02.2023 02:00:00;2023-02-06T01:15:00+00:00;06.02.2023 02:15:00;430.4;12.35;7.96;6.69
2023-02-02T03:45:00+00:00;02.02.2023 04:45:00;2023-02-02T04:00:00+00:00;02.02.2023 05:00:00;409.0;12.55;8.07;5.73
2023-02-02T04:15:00+00:00;02.02.2023 05:15:00;2023-02-02T04:30:00+00:00;02.02.2023 05:30:00;406.0;12.57;8.07;5.7
2023-02-02T02:45:00+00:00;02.02.2023 03:45:00;2023-02-02T03:00:00+00:00;02.02.2023 04:00:00;410.0;12.6;8.08;5.72
2023-02-02T05:15:00+00:00;02.02.2023 06:15:00;2023-02-02T05:30:00+00:00;02.02.2023 06:30:00;403.8;12.51;8.06;5.71
2023-02-02T04:45:00+00:00;02.02.2023 05:45:00;2023-02-02T05:00:00+00:00;02.02.2023 06:00:00;405.0;12.49;8.07;5.71
