Zeitstempel;Niederschlag;Luftfeuchtigkeit;Globalstrahlung [W/m2];Lufttemperatur;Windgeschwindigkeit;Windrichtung
2023-05-08T23:00:01+02:00;0.0;98.67;0.0;14.7;0.5;276.0
2023-05-09T00:00:01+02:00;0.0;99.11;0.0;14.39;0.6;273.0
2023-05-09T01:00:01+02:00;0.0;99.67;0.0;14.12;0.8;279.0
2023-05-09T04:00:01+02:00;0.0;99.98;0.0;12.6;0.7;291.0
2023-05-09T05:00:01+02:00;0.0;99.98;0.0;12.49;0.7;266.0
2023-05-09T09:00:01+02:00;0.0;96.62;117.0;13.68;1.1;276.0
2023-04-30T05:00:01+02:00;0.0;86.67;0.0;11.02;0.7;162.0
2023-04-30T07:00:01+02:00;0.0;87.96;3.0;10.93;0.6;160.0
2023-04-30T10:00:01+02:00;0.0;86.08;304.0;11.93;0.9;138.0
2023-04-30T15:00:01+02:00;0.0;56.39;319.0;17.23;0.9;158.0
2023-04-30T16:00:01+02:00;0.0;53.18;251.0;17.79;0.8;165.0
2023-04-30T17:00:01+02:00;0.0;53.54;106.0;17.74;0.6;158.0
2023-05-18T17:00:01+02:00;0.0;46.86;208.0;16.3;1.1;270.0
2023-05-18T16:00:01+02:00;0.0;46.52;290.0;16.32;1.2;263.0
2023-05-13T06:00:01+02:00;0.0;94.12;0.0;11.82;0.8;136.0
2023-05-13T17:00:01+02:00;0.0;67.91;425.0;15.82;0.9;171.0
2023-05-11T23:00:01+02:00;2.0;91.96;0.0;11.62;0.4;140.0
2023-05-12T00:00:01+02:00;0.0;95.23;0.0;11.41;0.1;349.0
2023-05-12T01:00:01+02:00;0.0;94.38;0.0;11.21;0.0;304.0
2023-05-12T04:00:01+02:00;0.0;95.22;0.0;10.82;0.1;7.0
2023-05-12T11:00:01+02:00;0.0;87.71;156.0;12.0;0.6;170.0
2023-05-06T18:00:01+02:00;0.0;50.51;292.0;22.01;1.4;171.0
2023-05-05T00:00:01+02:00;0.0;51.65;0.0;19.91;0.4;245.0
2023-05-05T03:00:01+02:00;0.0;73.51;0.0;15.69;0.8;264.0
2023-05-05T05:00:01+02:00;0.0;78.25;0.0;14.87;1.1;269.0
2023-05-05T06:00:01+02:00;0.0;81.1;0.0;14.41;0.9;251.0
2023-05-05T07:00:01+02:00;0.0;81.78;0.0;14.42;0.8;264.0
2023-05-05T12:00:01+02:00;0.0;56.14;509.0;21.1;1.0;175.0
2023-05-05T16:00:01+02:00;13.6;62.85;10.0;20.69;2.7;130.0
2023-05-06T00:00:01+02:00;0.0;98.03;0.0;15.29;0.6;276.0
2023-05-05T22:00:01+02:00;0.0;93.36;0.0;16.0;1.3;277.0
2023-05-05T23:00:01+02:00;0.0;95.02;0.0;15.59;0.9;279.0
2023-05-06T01:00:01+02:00;0.0;98.89;0.0;14.99;0.5;281.0
2023-05-06T08:00:01+02:00;0.0;98.93;70.0;13.59;0.7;256.0
2023-05-06T05:00:01+02:00;0.0;99.99;0.0;13.63;0.2;154.0
2023-05-06T11:00:01+02:00;0.0;78.8;375.0;17.07;0.8;157.0
2023-05-06T13:00:01+02:00;0.0;69.92;742.0;19.28;1.2;155.0
2023-05-06T03:00:01+02:00;0.0;99.21;0.0;14.53;0.2;271.0
2023-05-03T22:00:02+02:00;0.0;47.74;0.0;16.94;1.0;257.0
2023-05-03T15:00:01+02:00;0.0;53.76;782.0;18.31;1.0;134.0
2023-05-03T11:00:01+02:00;0.0;72.27;625.0;12.4;1.1;157.0
2023-05-02T23:00:01+02:00;0.0;81.51;0.0;13.25;0.7;205.0
2023-05-03T01:00:01+02:00;0.0;91.85;0.0;11.47;0.6;186.0
2023-05-03T02:00:01+02:00;0.0;94.14;0.0;10.95;0.7;169.0
2023-05-03T07:00:01+02:00;0.0;87.77;15.0;7.8;0.7;42.0
2023-05-03T08:00:01+02:00;0.0;85.64;141.0;8.07;0.6;15.0
2023-05-03T12:00:01+02:00;0.0;71.17;683.0;13.23;1.2;145.0
2023-05-03T14:00:01+02:00;0.0;58.78;822.0;16.79;1.0;131.0
2023-05-03T19:00:01+02:00;0.0;36.07;200.0;20.25;1.3;257.0
2023-05-03T20:00:01+02:00;0.0;38.27;30.0;19.34;1.3;270.0
2023-05-04T09:00:01+02:00;0.0;66.51;343.0;13.47;1.3;258.0
2023-05-04T14:00:01+02:00;0.0;39.97;810.0;22.95;1.3;252.0
2023-05-01T16:00:01+02:00;0.0;55.74;278.0;16.95;1.2;15.0
2023-04-30T22:00:01+02:00;0.0;56.17;0.0;15.99;0.7;105.0
